Nr,TID,PID,x [pixel],y [pixel],t [sec],I [val],Len [pixel],D2S [pixel],D2R [pixel],D2P [pixel],v [pixel/sec],? [deg],?? [deg]
222,2,53,864,324,0,0.9,2252.801,326.765,NA,36.025,NA,-92.121,7.745
223,2,54,852,285.333,0,1.2,2293.287,300.107,NA,40.486,NA,-107.241,-15.12
224,2,55,833.333,250.667,0,0,2332.66,271.428,NA,39.373,NA,-118.301,-11.059
225,2,56,809.333,216,0,0.3,2374.824,240.463,NA,42.164,NA,-124.695,-6.394
226,2,57,788,194.667,0,0,2404.994,216.694,NA,30.17,NA,-135,-10.305
227,2,58,756,176,0,2.7,2442.04,184.005,NA,37.047,NA,-149.744,-14.744
228,2,59,724,154.667,0,5.1,2480.5,153.681,NA,38.459,NA,-146.31,3.434
229,2,60,686.667,152,0,4.1,2517.928,117.432,NA,37.428,NA,-175.914,-29.604
230,2,61,646.667,157.333,0,18.1,2558.282,77.299,NA,40.354,NA,172.405,-11.68
231,2,62,612,160,0,2.7,2593.051,43.594,NA,34.769,NA,175.601,3.196
232,2,63,561.333,189.333,0,7,2651.596,16.055,NA,58.545,NA,149.931,-25.67
233,2,64,521.333,228,0,12.8,2707.23,71.653,NA,55.634,NA,135.971,-13.96
234,2,65,494.667,270.667,0,9.1,2757.545,121.209,NA,50.315,NA,122.005,-13.966
235,2,66,468,336,0,6.8,2828.111,189.713,NA,70.566,NA,112.203,-9.802
236,2,67,472,388,0,12.9,2880.264,233.196,NA,52.154,NA,85.601,-26.602
237,2,68,485.333,448,0,6.8,2941.728,284.203,NA,61.464,NA,77.471,-8.13
238,2,69,524,498.667,0,11.7,3005.463,324.899,NA,63.736,NA,52.651,-24.821
239,2,70,564,530.667,0,6.9,3056.688,353.424,NA,51.225,NA,38.66,-13.991
240,2,71,612,550.667,0,3,3108.688,375.47,NA,52,NA,22.62,-16.04
241,2,72,670.667,557.333,0,5,3167.733,392.6,NA,59.044,NA,6.483,-16.137
242,2,73,724,544,0,1,3222.707,396.924,NA,54.975,NA,-14.036,-20.519
243,2,74,774.667,517.333,0,16.7,3279.963,395.82,NA,57.256,NA,-27.759,-13.722
244,2,75,798.667,490.667,0,22.1,3315.839,386.724,NA,35.876,NA,-48.013,-20.254
245,2,76,821.333,457.333,0,15.1,3356.149,374.923,NA,40.31,NA,-55.784,-7.772
246,2,77,833.333,429.333,0,1.8,3386.612,363.041,NA,30.463,NA,-66.801,-11.017
247,2,78,844,405.333,0,41.1,3412.876,354.92,NA,26.264,NA,-66.038,0.764
248,2,79,844,372,0,1,3446.209,334.483,NA,33.333,NA,-90,-23.962
249,2,80,844,338.667,0,18.1,3479.543,316.247,NA,33.333,NA,-90,0
250,2,81,841.333,305.333,0,4.1,3512.983,298.202,NA,33.44,NA,-94.574,-4.574
251,2,82,829.333,270.667,0,11.1,3549.667,273.736,NA,36.685,NA,-109.093,-14.52
252,2,83,809.333,246.667,0,8.1,3580.908,247.253,NA,31.241,NA,-129.806,-20.712
